斯玛特,#genre#
CBS HD,http://192.168.2.2:8080/stv.php?id=cbshd_glo
CBSN HD,http://192.168.2.2:8080/stv.php?id=cbsn_glo
France 24,http://192.168.2.2:8080/stv.php?id=france24_twn
DW (Deutsch),http://192.168.2.2:8080/stv.php?id=dw_twn
Fox News,http://192.168.2.2:8080/stv.php?id=foxnews_twn
CGTN,http://192.168.2.2:8080/stv.php?id=CGTN
CNN International,http://192.168.2.2:8080/stv.php?id=Cnn
CNN backup,http://192.168.2.2:8080/stv.php?id=cnn_twn
BBC World News,http://192.168.2.2:8080/stv.php?id=Bbcnews
Channel 5,http://192.168.2.2:8080/stv.php?id=Channel5HD
Channel 8,http://192.168.2.2:8080/stv.php?id=Channel8HD
Suria,http://192.168.2.2:8080/stv.php?id=Suria Suria
Channel U,http://192.168.2.2:8080/stv.php?id=ChannelU
Vasantham,http://192.168.2.2:8080/stv.php?id=Vasantham
Supersports 1,http://192.168.2.2:8080/stv.php?id=Assp1
Supersports 1 backup,http://192.168.2.2:8080/stv.php?id=go_assp1
Supersports 2,http://192.168.2.2:8080/stv.php?id=Assp2
Supersports 2 backup,http://192.168.2.2:8080/stv.php?id=go_assp2
Supersports 3,http://192.168.2.2:8080/stv.php?id=Assp3
Supersports 3 backup,http://192.168.2.2:8080/stv.php?id=go_assp3
Supersports 4 backup,http://192.168.2.2:8080/stv.php?id=go_assp4
Supersports 5,http://192.168.2.2:8080/stv.php?id=go_assp5
WWE,http://192.168.2.2:8080/stv.php?id=Wwe
Fight Sports,http://192.168.2.2:8080/stv.php?id=Fs UFC
Astro Golf,http://192.168.2.2:8080/stv.php?id=Agolf
Sony Ten 1,http://192.168.2.2:8080/stv.php?id=ten1_raj
Sony Ten 2,http://192.168.2.2:8080/stv.php?id=ten2_raj
Sony Ten 3,http://192.168.2.2:8080/stv.php?id=ten3_raj
SPOTV 1 HD,http://192.168.2.2:8080/stv.php?id=go_spotv
SPO TV 2,http://192.168.2.2:8080/stv.php?id=go_spotv2
Skysports F1,http://192.168.2.2:8080/stv.php?id=tiankongf1
Skysports Cricket,http://192.168.2.2:8080/stv.php?id=tiankongcricket
Skysports EPL,http://192.168.2.2:8080/stv.php?id=tiankongepl
Skysports Golf,http://192.168.2.2:8080/stv.php?id=tiankonggolf
Skysports Main Event,http://192.168.2.2:8080/stv.php?id=tiankongmain
Skysports News,http://192.168.2.2:8080/stv.php?id=tiankongnews
Arena 2,http://192.168.2.2:8080/stv.php?id=Arena2
Rugby Pass TV,http://192.168.2.2:8080/stv.php?id=Rugbypasstv
Thairath,http://192.168.2.2:8080/stv.php?id=thairath_pat
tpbs,http://192.168.2.2:8080/stv.php?id=tpbs_pat
Workpoint,http://192.168.2.2:8080/stv.php?id=workpoint_pat
Tnn24,http://192.168.2.2:8080/stv.php?id=tnn24_pat
Nbt,http://192.168.2.2:8080/stv.php?id=nbt_pat
TPTV,http://192.168.2.2:8080/stv.php?id=tptv_pat
BBC 2,http://192.168.2.2:8080/stv.php?id=bbc2_antik
Pick TV,http://192.168.2.2:8080/stv.php?id=picktv_antik
CBeebies,http://192.168.2.2:8080/stv.php?id=Cbeebies
Kids TV,http://192.168.2.2:8080/stv.php?id=KidsTV
HBO HD,http://192.168.2.2:8080/stv.php?id=Hbo NatGeo
Axn HD,http://192.168.2.2:8080/stv.php?id=Axn Bloomberg
