香港频道,#genre# 
Danang TV2 HD,http://kele666.serv00.net/Smart.php?id=viet_danangtv2
HBTV HD,http://kele666.serv00.net/Smart.php?id=viet_hbtv
PTTH 1,http://kele666.serv00.net/Smart.php?id=viet_ptth1

韩国频道,#genre# 
Arirang HD,http://kele666.serv00.net/Smart.php?id=arirang_korea
Yonhap News,http://kele666.serv00.net/Smart.php?id=yonhapnews_korea
CBS,http://kele666.serv00.net/Smart.php?id=cbs_korea
EBS 1,http://kele666.serv00.net/Smart.php?id=ebs1_korea
EBS2,http://kele666.serv00.net/Smart.php?id=ebs2_korea
EBS Plus2,http://kele666.serv00.net/Smart.php?id=ebsplus2_korea
SBS Plus,http://kele666.serv00.net/Smart.php?id=sbsplus_korea
YTN,http://kele666.serv00.net/Smart.php?id=ytn_korea
KBS World 24,http://kele666.serv00.net/Smart.php?id=kbsworld24_korea
YTN Science,http://kele666.serv00.net/Smart.php?id=ytnscience_korea
YTN Korean,http://kele666.serv00.net/Smart.php?id=ytnkorean_korea
YTN DMB,http://kele666.serv00.net/Smart.php?id=ytndmb_korea
Apps TV,http://kele666.serv00.net/Smart.php?id=appongoogle_korea
All the Kpop,http://kele666.serv00.net/Smart.php?id=allthekpop_korea
J the Kpop,http://kele666.serv00.net/Smart.php?id=jthekpop_korea
EBS Kids,http://kele666.serv00.net/Smart.php?id=ebskids_korea
CGNTV,http://kele666.serv00.net/Smart.php?id=cgntv_korea

日本频道,#genre# 
NHK-総合-2,http://kele666.serv00.net/Smart.php?id=nhkg_japan
NHK-E,http://kele666.serv00.net/Smart.php?id=nhke_japan
テレビ朝日 Asahi TV,http://kele666.serv00.net/Smart.php?id=asahitv_japan
JET 綜合,http://kele666.serv00.net/Smart.php?id=jettv_japan
テレビ東京 Tokyo TV,http://kele666.serv00.net/Smart.php?id=tokyotv_japan
TOKYOMX,http://kele666.serv00.net/Smart.php?id=tokyomx_japan
NHKBS1,http://kele666.serv00.net/Smart.php?id=nhkbs1_japan
NHKBSプレミア Premium,http://kele666.serv00.net/Smart.php?id=nhkpremium_japan
BSジャパン 181,http://kele666.serv00.net/Smart.php?id=bs181_japan
BSフジ BS Fuji,http://kele666.serv00.net/Smart.php?id=bsfuji_japan
CNA Japan,http://kele666.serv00.net/Smart.php?id=cna_japan
BS-TBS,http://kele666.serv00.net/Smart.php?id=bstbs_japan
NHK Oaska,http://kele666.serv00.net/Smart.php?id=nhkosaka_japan
